EmployeeID,Name,Age,Gender,Department,CareerLevel,SalaryTier,YearsAtCompany,TrainingAttended,TrainingHours,PerformanceScore,Promoted,Attrition,HireYear,Location
E0001,Jonathan Weeks,50,Male,Sales,Junior,Medium,4,Soft Skills,48,2.56,No,No,2019,Port Johnathanhaven
E0002,George Moore,45,Male,HR,Senior,Low,7,Technical,53,3.26,No,Yes,2016,Kirktown
E0003,Christine Johnson,42,Male,Marketing,Senior,Medium,12,Leadership,53,3.62,Yes,Yes,2011,New Micheleland
E0004,Betty Barnes,37,Female,Sales,Junior,Low,13,Leadership,53,3.35,No,No,2010,Josephshire
E0005,Lisa Wright,24,Male,HR,Manager,Medium,8,Technical,48,1.98,Yes,No,2015,New Crystal
E0006,Julie Gonzalez,49,Male,Operations,Mid,Low,12,Technical,17,4.38,Yes,No,2011,West Brett
E0007,Christina Short,57,Female,HR,Junior,Medium,13,None,0,5.0,Yes,No,2010,West Kristen
E0008,Debbie Miller,47,Female,Sales,Mid,Low,3,Technical,23,3.99,No,No,2020,Lake Richard
E0009,Carol Knight,35,Female,IT,Junior,Low,7,Soft Skills,30,2.32,No,No,2016,Gibsonton
E0010,Donald Medina,50,Male,HR,Manager,Low,6,Soft Skills,18,2.8,No,Yes,2017,Lake Rebecca
E0011,Karen Ward,45,Male,Sales,Junior,Low,7,None,0,3.98,Yes,No,2016,Williamsborough
E0012,Raymond Baldwin,49,Male,IT,Manager,Medium,1,Soft Skills,42,3.58,Yes,No,2022,New Sharon
E0013,Melanie Hernandez,45,Female,Sales,Senior,Medium,5,None,0,3.2,Yes,No,2018,Hartside
E0014,Christian Lucas,22,Male,Finance,Senior,Low,13,Leadership,48,4.35,Yes,No,2010,Maxview
E0015,Christine Morrow,47,Female,Marketing,Junior,Low,14,Soft Skills,41,2.71,No,No,2009,New Shawna
E0016,Edward Andrade,44,Male,Marketing,Senior,Medium,12,Leadership,45,4.33,No,No,2011,Connieshire
E0017,Kristin Daniel,43,Male,Marketing,Manager,Medium,13,Technical,15,2.61,Yes,No,2010,New Angela
E0018,Andrew Lambert,49,Female,Sales,Mid,High,0,Technical,36,2.84,No,No,2023,Walshshire
E0019,Ronald Rodriguez,24,Male,Finance,Junior,Medium,8,Soft Skills,46,2.63,Yes,No,2015,Wilsonmouth
E0020,Andrew Hudson,53,Female,Marketing,Mid,Medium,0,Soft Skills,58,3.64,No,No,2023,Port Lauren
E0021,Brian Miller,23,Male,IT,Senior,Low,7,Soft Skills,26,3.04,Yes,No,2016,East Anthony
E0022,Julie Gregory,23,Male,Marketing,Mid,Medium,5,Soft Skills,41,3.19,No,Yes,2018,Burgessbury
E0023,Troy Clark,38,Male,Operations,Senior,Low,3,Technical,43,3.56,Yes,No,2020,Carlosbury
E0024,Brian Ramirez,27,Male,HR,Senior,High,11,None,0,5.0,No,Yes,2012,Michaelport
E0025,Madison Moreno,24,Female,IT,Manager,Low,6,Technical,50,2.66,No,Yes,2017,Travisfort
E0026,Francisco Higgins,49,Female,Sales,Senior,Low,14,Technical,39,4.78,No,No,2009,Kellyborough
E0027,Robin Kim,37,Male,IT,Manager,Medium,11,None,0,3.59,No,Yes,2012,Christopherville
E0028,Shawn Richardson,56,Female,Sales,Senior,High,3,Technical,33,3.5,No,No,2020,New Marcus
E0029,Michelle Thompson,32,Female,HR,Executive,Medium,7,None,0,3.56,Yes,No,2016,Brandonville
E0030,Alejandro Potts,39,Female,Marketing,Mid,Medium,12,None,0,3.1,Yes,No,2011,Jasonville
E0031,Scott Young,54,Male,IT,Mid,Low,7,Technical,17,3.65,No,Yes,2016,North Kevin
E0032,Justin Suarez,43,Male,Marketing,Junior,Low,5,Soft Skills,47,3.91,Yes,No,2018,North Lisaton
E0033,Shelley Oneal,48,Female,Operations,Mid,Low,0,None,0,2.81,Yes,No,2023,Deborahberg
E0034,Andrew Woods,40,Female,HR,Senior,Medium,0,Technical,53,4.9,No,No,2023,Stephaniefurt
E0035,Carol Kim,27,Female,Sales,Mid,Low,7,Leadership,38,3.68,No,No,2016,Dianafort
E0036,Jill Murray,42,Male,HR,Junior,Low,2,Technical,27,3.05,No,No,2021,Robertsfurt
E0037,Ronnie Mcclure,24,Female,Operations,Senior,Low,14,Leadership,31,2.79,Yes,No,2009,Triciahaven
E0038,Timothy Charles,54,Female,Finance,Junior,Medium,6,None,0,2.77,Yes,No,2017,Johnfort
E0039,Sarah Daniel,56,Female,Operations,Junior,Medium,11,Leadership,16,4.56,No,No,2012,Dorothyborough
E0040,Dennis Allen,37,Male,Marketing,Junior,High,14,Soft Skills,37,3.71,No,No,2009,Port Johnfurt
E0041,Barbara Palmer MD,43,Female,Sales,Mid,Low,13,Soft Skills,31,3.36,Yes,No,2010,East Sophia
E0042,Amanda Oconnor,58,Female,HR,Mid,Medium,11,None,0,3.61,No,No,2012,South Elizabeth
E0043,Lucas Williams,27,Male,Marketing,Junior,Medium,14,Soft Skills,44,4.65,No,No,2009,Cookport
E0044,Andrea Watson,51,Male,Operations,Junior,Low,2,Leadership,37,3.68,No,No,2021,Griffithmouth
E0045,Jessica Reese,47,Female,Marketing,Executive,High,8,Technical,21,2.56,Yes,No,2015,New Christopher
E0046,Jodi Haney,46,Male,IT,Senior,Low,12,Technical,48,3.37,No,No,2011,Lopezstad
